Dive Site ID,Dive Site Name,Distance,Lat,Lng,Record #
23540,Liberator,2.94,35.083511,-75.33291899999998,643
21172,Empire Gem,7.52,35.095175,-75.581264,644
23540,Liberator,13.38,35.116847,-75.116244,645
22071,Australia,0.8,35.121844,-75.367086,646
22071,Australia,1.05,35.133511,-75.366253,647
17089,Empire Gem,6.21,35.145175,-75.591264,648
22089,Veturia,1.67,35.146844,-75.379586,649
22089,Veturia,2.26,35.146844,-75.446256,650
22071,Australia,3.65,35.156844,-75.303472,653
23540,Liberator,22.05,35.166847,-74.966239,655
23540,Liberator,22.05,35.166847,-74.966239,656
22071,Australia,3.51,35.170178,-75.33014200000002,657
22071,Australia,3.37,35.171567,-75.358475,658
22071,Australia,3.76,35.177219,-75.358017,659
22071,Australia,7.55,35.196847,-75.254583,661
23540,Liberator,23.4,35.200181,-74.949572,662
17089,Empire Gem,1.79,35.219619,-75.632378,663
22071,Australia,11.4,35.225181,-75.194581,664
16442,Australia,11.17,35.228792,-75.201247,665
22071,Australia,11.98,35.230181,-75.186247,666
16442,Australia,12.66,35.40017800000001,-75.349592,676
16442,Australia,19.97,35.483514,-75.249589,681
22235,U-85,13.47,35.628511,-74.88985600000002,690
22079,Theodore Parker (Liberty Ship) (AR-315),2.14,34.673472,-76.741097,10255
22079,Theodore Parker (Liberty Ship) (AR-315),1.91,34.670636,-76.743222,10256
22412,USCGC Spar (AR-305),4.86,34.301833,-76.72465,9946
22065,Aeolus (AR-305),5.88,34.3585,-76.677983,9950
24494,USS Aeolus,5.12,34.56,-76.533333,9954
22079,Theodore Parker (Liberty Ship) (AR-315),1.92,34.672247,-76.744886,9955
23531,HMS Bedfordshire,4.16,34.170171999999994,-76.242961,9956
24300,Portland,3.87,34.455167,-76.481306,9962
23033,Senateur Duhamel,4.85,34.514856,-76.705392,10327
22066,Indra (AR-330),0.02,34.562036,-76.851783,10402
16905,F.W. Abrams,3.84,35.030722,-76.076011,10161
16905,F.W. Abrams,3.94,35.0286,-76.07540300000002,10162
16819,Catherine M. Monohan,17.79,35.425172,-75.836283,3075
16819,Catherine M. Monohan,22.33,35.500172,-75.866289,3076
17089,Empire Gem,11.15,35.360175,-75.729611,3077
23541,Malchace,13.96,34.500175,-75.666267,2834
24300,Portland,4.63,34.4335,-76.469639,2835
22574,Alexander Ramesy (AKA the Liberty Ship),15.74,34.130169,-77.93804200000002,2837
24607,Naeco,4.93,34.058011,-76.57144699999998,2838
24607,Naeco,3.08,33.983508,-76.666314,2839
23475,John D. Gill,7.66,33.841842,-77.458019,2840
22071,Australia,3.54,35.170178,-75.328753,2866
21172,Empire Gem,7.46,35.091842,-75.582931,2867
23528,Playa - Dredge Wreck Playa,1.63,33.975172,-77.65803100000002,2868
16442,Australia,2.79,35.226844,-75.44792199999998,2879
17089,Empire Gem,1.6,35.223508,-75.63126700000002,2880
16442,Australia,3.77,35.181844,-75.352919,2881
16819,Catherine M. Monohan,8.3,35.171839,-75.797942,2882
22089,Veturia,3.36,35.131844,-75.466258,2883
22089,Veturia,3.64,35.100178,-75.451256,2885
21172,Empire Gem,6.36,35.091842,-75.557928,2886
17289,Dixie Arrow,6.18,34.9835,-76.051289,2887
21175,Tarpon,11.2,34.691842,-75.584597,2889
23540,Liberator,8.09,35.019290000000005,-75.285944,14917
23578,Morehead City railroad bridge,0.33,34.718416999999995,-76.691278,14635
22975,Captains Reef USVI,0.94,18.3125,-64.95894399999999,8745
22975,Captains Reef USVI,0.45,18.326656,-64.95809200000001,11858
22975,Captains Reef USVI,0.75,18.3305,-64.960986,11859
18549,La Pared de la Parguera,9.73,17.963672,-66.619553,11016
18549,La Pared de la Parguera,3.86,18.004510999999994,-66.766511,11760
22975,Captains Reef USVI,1.77,18.335,-64.927222,11050
18549,La Pared de la Parguera,2.97,17.991619,-66.765986,11761
18549,La Pared de la Parguera,9.27,17.941867000000006,-66.625753,11763
18549,La Pared de la Parguera,9.69,17.967397000000005,-66.620514,11764
18549,La Pared de la Parguera,8.17,17.972775,-66.644908,11765
18549,La Pared de la Parguera,8.14,17.969492000000006,-66.644722,11766
18549,La Pared de la Parguera,9.94,17.966997,-66.616647,11769
18549,La Pared de la Parguera,9.56,17.961333,-66.621789,11770
23774,Escambro,1.67,18.472944,-66.12827800000001,11475
18501,Figure Eight Reef,1.92,18.458864,-66.116197,11476
18501,Figure Eight Reef,1.18,18.460122,-66.104978,11479
18501,Figure Eight Reef,0.45,18.458758,-66.09088299999999,11480
18501,Figure Eight Reef,1.54,18.447192,-66.10235300000001,11481
18501,Figure Eight Reef,1.46,18.447942,-66.101403,11482
22975,Captains Reef USVI,0.27,18.327122,-64.954472,11487
18501,Figure Eight Reef,2.09,18.441333,-66.108083,1238
24392,Blue Chute,0.94,17.748028,-64.702917,789
22628,Carval Rock,1.91,18.359397,-64.768192,793
24129,Cayo Blanco,8.41,18.0783,-65.386825,6821
24129,Cayo Blanco,8.16,18.086356,-65.382936,6822
24129,Cayo Blanco,8.28,18.081911,-65.385436,6823
23774,Escambro,3.1,18.469639,-66.152389,7055
18501,Figure Eight Reef,0.59,18.470778,-66.081556,7056
23774,Escambro,2.25,18.474711,-66.140606,7057
22975,Captains Reef USVI,1.26,18.331056,-64.93382199999999,14043
18501,Figure Eight Reef,1.23,18.463542,-66.106247,13778
18501,Figure Eight Reef,2.71,18.431606,-66.110047,13779
18501,Figure Eight Reef,1.25,18.463594,-66.106575,13781
18501,Figure Eight Reef,1.18,18.460122,-66.104897,13782
18501,Figure Eight Reef,1.4,18.453919,-66.10575,13783
23773,Fajardo cave,3.9,18.225111,-65.625361,10078
23773,Fajardo cave,4.04,18.223556,-65.634861,10080
23773,Fajardo cave,4.38,18.22275,-65.601833,10081
22975,Captains Reef USVI,1.18,18.330156,-64.934744,9769
22975,Captains Reef USVI,1.26,18.331039,-64.933814,9776
22975,Captains Reef USVI,1.26,18.338083,-64.939239,9779
22975,Captains Reef USVI,0.73,18.330489,-64.942769,9780
22975,Captains Reef USVI,0.77,18.333306,-64.944833,9783
22975,Captains Reef USVI,0.78,18.329708,-64.941242,9786
22975,Captains Reef USVI,1.57,18.321869,-64.92788900000001,9788
22975,Captains Reef USVI,0.22,18.326142,-64.9543,9792
22975,Captains Reef USVI,1.11,18.317028,-64.966886,9793
24080,Charlotte Amalie,1.32,18.307972,-64.978914,9795
